BUPR_LECZinSum,County,State,CountyStat,FIPS_5digi
692643.0,California,6,Alameda County,6001
6225.0,California,6,Colusa County,6011
473263.0,California,6,Contra Costa County,6013
4.0,California,6,Del Norte County,6015
11671.0,California,6,Humboldt County,6023
2128358.0,California,6,Los Angeles County,6037
122134.0,California,6,Marin County,6041
2.0,California,6,Mendocino County,6045
87629.0,California,6,Monterey County,6053
76436.0,California,6,Napa County,6055
647274.0,California,6,Orange County,6059
97774.0,California,6,Sacramento County,6067
830822.0,California,6,San Diego County,6073
336527.0,California,6,San Francisco County,6075
200666.0,California,6,San Joaquin County,6077
86395.0,California,6,San Luis Obispo County,6079
288257.0,California,6,San Mateo County,6081
194419.0,California,6,Santa Barbara County,6083
868897.0,California,6,Santa Clara County,6085
164894.0,California,6,Santa Cruz County,6087
108683.0,California,6,Solano County,6095
327777.0,California,6,Sonoma County,6097
317294.0,California,6,Stanislaus County,6099
26161.0,California,6,Sutter County,6101
190711.0,California,6,Ventura County,6111
81074.0,California,6,Yolo County,6113
238377.0,Oregon,41,Clackamas County,41005
18929.0,Oregon,41,Clatsop County,41007
71298.0,Oregon,41,Columbia County,41009
43847.0,Oregon,41,Coos County,41011
19299.0,Oregon,41,Curry County,41015
72570.0,Oregon,41,Douglas County,41019
191982.0,Oregon,41,Lane County,41039
35827.0,Oregon,41,Lincoln County,41041
518055.0,Oregon,41,Multnomah County,41051
34604.0,Oregon,41,Tillamook County,41057
136941.0,Washington,53,Clallam County,53009
294399.0,Washington,53,Clark County,53011
54409.0,Washington,53,Cowlitz County,53015
37089.0,Washington,53,Grays Harbor County,53027
71846.0,Washington,53,Island County,53029
29004.0,Washington,53,Jefferson County,53031
1383177.0,Washington,53,King County,53033
456780.0,Washington,53,Kitsap County,53035
58059.0,Washington,53,Mason County,53045
10528.0,Washington,53,Pacific County,53049
616751.0,Washington,53,Pierce County,53053
22109.0,Washington,53,San Juan County,53055
96710.0,Washington,53,Skagit County,53057
9925.0,Washington,53,Skamania County,53059
223404.0,Washington,53,Snohomish County,53061
204045.0,Washington,53,Thurston County,53067
1031.0,Washington,53,Wahkiakum County,53069
142279.0,Washington,53,Whatcom County,53073
133203.0,Alabama,1,Baldwin County,1003
15056.0,Alabama,1,Clarke County,1025
233574.0,Alabama,1,Mobile County,1097
14985.0,Alabama,1,Monroe County,1099
6706.0,Alabama,1,Washington County,1129
77565.0,Florida,12,Bay County,12005
174274.0,Florida,12,Brevard County,12009
15496.0,Florida,12,Broward County,12011
20465.0,Florida,12,Calhoun County,12013
4564.0,Florida,12,Charlotte County,12015
120360.0,Florida,12,Citrus County,12017
101992.0,Florida,12,Clay County,12019
14254.0,Florida,12,Collier County,12021
20304.0,Florida,12,DeSoto County,12027
13482.0,Florida,12,Dixie County,12029
290364.0,Florida,12,Duval County,12031
206407.0,Florida,12,Escambia County,12033
43758.0,Florida,12,Flagler County,12035
2516.0,Florida,12,Franklin County,12037
29321.0,Florida,12,Gilchrist County,12041
237.0,Florida,12,Glades County,12043
2319.0,Florida,12,Gulf County,12045
4175.0,Florida,12,Hendry County,12051
145824.0,Florida,12,Hernando County,12053
98153.0,Florida,12,Highlands County,12055
697438.0,Florida,12,Hillsborough County,12057
15549.0,Florida,12,Holmes County,12059
36933.0,Florida,12,Indian River County,12061
12572.0,Florida,12,Jefferson County,12065
12873.0,Florida,12,Lafayette County,12067
291530.0,Florida,12,Lake County,12069
1336.0,Florida,12,Lee County,12071
185670.0,Florida,12,Leon County,12073
73098.0,Florida,12,Levy County,12075
241.0,Florida,12,Liberty County,12077
119232.0,Florida,12,Manatee County,12081
335031.0,Florida,12,Marion County,12083
11850.0,Florida,12,Martin County,12085
25929.0,Florida,12,Miami0Dade County,12086
43278.0,Florida,12,Monroe County,12087
21108.0,Florida,12,Nassau County,12089
7731.0,Florida,12,Okaloosa County,12091
625.0,Florida,12,Okeechobee County,12093
790305.0,Florida,12,Orange County,12095
275879.0,Florida,12,Osceola County,12097
89867.0,Florida,12,Palm Beach County,12099
179488.0,Florida,12,Pasco County,12101
362539.0,Florida,12,Pinellas County,12103
34275.0,Florida,12,Putnam County,12107
62999.0,Florida,12,St. Johns County,12109
44369.0,Florida,12,St. Lucie County,12111
101800.0,Florida,12,Santa Rosa County,12113
146966.0,Florida,12,Sarasota County,12115
289474.0,Florida,12,Seminole County,12117
30423.0,Florida,12,Taylor County,12123
217180.0,Florida,12,Volusia County,12127
12162.0,Florida,12,Wakulla County,12129
43979.0,Florida,12,Walton County,12131
43860.0,Florida,12,Washington County,12133
14767.0,Georgia,13,Brantley County,13025
11149.0,Georgia,13,Bryan County,13029
1909.0,Georgia,13,Camden County,13039
6471.0,Georgia,13,Charlton County,13049
30706.0,Georgia,13,Chatham County,13051
42168.0,Georgia,13,Effingham County,13103
14122.0,Georgia,13,Glynn County,13127
29254.0,Georgia,13,Liberty County,13179
457.0,Georgia,13,Long County,13183
1566.0,Georgia,13,McIntosh County,13191
22783.0,Georgia,13,Wayne County,13305
11384.0,Mississippi,28,George County,28039
25792.0,Mississippi,28,Hancock County,28045
121033.0,Mississippi,28,Harrison County,28047
25460.0,Mississippi,28,Jackson County,28059
43494.0,Mississippi,28,Pearl River County,28109
12913.0,North Carolina,37,Beaufort County,37013
2970.0,North Carolina,37,Bertie County,37015
24594.0,North Carolina,37,Bladen County,37017
30917.0,North Carolina,37,Brunswick County,37019
27.0,North Carolina,37,Camden County,37029
1820.0,North Carolina,37,Carteret County,37031
7777.0,North Carolina,37,Chowan County,37041
44487.0,North Carolina,37,Columbus County,37047
29079.0,North Carolina,37,Craven County,37049
104.0,North Carolina,37,Currituck County,37053
1919.0,North Carolina,37,Dare County,37055
43445.0,North Carolina,37,Duplin County,37061
40544.0,North Carolina,37,Edgecombe County,37065
14050.0,North Carolina,37,Gates County,37073
13226.0,North Carolina,37,Greene County,37079
71848.0,North Carolina,37,Halifax County,37083
1860.0,North Carolina,37,Hertford County,37091
,North Carolina,37,Hyde County,37095
5798.0,North Carolina,37,Jones County,37103
44884.0,North Carolina,37,Lenoir County,37107
13.0,North Carolina,37,Martin County,37117
73326.0,North Carolina,37,New Hanover County,37129
16924.0,North Carolina,37,Northampton County,37131
72634.0,North Carolina,37,Onslow County,37133
2021.0,North Carolina,37,Pamlico County,37137
228.0,North Carolina,37,Pasquotank County,37139
8641.0,North Carolina,37,Pender County,37141
543.0,North Carolina,37,Perquimans County,37143
100146.0,North Carolina,37,Pitt County,37147
43778.0,North Carolina,37,Sampson County,37163
1.0,North Carolina,37,Tyrrell County,37177
1408.0,North Carolina,37,Washington County,37187
14310.0,South Carolina,45,Beaufort County,45013
51171.0,South Carolina,45,Berkeley County,45015
24312.0,South Carolina,45,Charleston County,45019
25264.0,South Carolina,45,Colleton County,45029
51117.0,South Carolina,45,Dorchester County,45035
77267.0,South Carolina,45,Florence County,45041
5760.0,South Carolina,45,Georgetown County,45043
7524.0,South Carolina,45,Hampton County,45049
77786.0,South Carolina,45,Horry County,45051
3349.0,South Carolina,45,Jasper County,45053
4854.0,South Carolina,45,Marion County,45067
24800.0,South Carolina,45,Williamsburg County,45089
328097.0,Connecticut,9,Fairfield County,9001
527683.0,Connecticut,9,Hartford County,9003
101083.0,Connecticut,9,Middlesex County,9007
479903.0,Connecticut,9,New Haven County,9009
97673.0,Connecticut,9,New London County,9011
96894.0,Delaware,10,Kent County,10001
303714.0,Delaware,10,New Castle County,10003
75850.0,Delaware,10,Sussex County,10005
260215.0,District Of Columbia,11,District Of Columbia,11001
188712.0,Maine,23,Cumberland County,23005
22165.0,Maine,23,Hancock County,23009
52072.0,Maine,23,Kennebec County,23011
25753.0,Maine,23,Knox County,23013
17591.0,Maine,23,Lincoln County,23015
51634.0,Maine,23,Penobscot County,23019
23529.0,Maine,23,Sagadahoc County,23023
6673.0,Maine,23,Waldo County,23027
10173.0,Maine,23,Washington County,23029
133389.0,Maine,23,York County,23031
311368.0,Maryland,24,Anne Arundel County,24003
462800.0,Maryland,24,Baltimore County,24005
56867.0,Maryland,24,Calvert County,24009
25242.0,Maryland,24,Caroline County,24011
63944.0,Maryland,24,Cecil County,24015
107257.0,Maryland,24,Charles County,24017
6742.0,Maryland,24,Dorchester County,24019
159165.0,Maryland,24,Harford County,24025
165253.0,Maryland,24,Howard County,24027
12144.0,Maryland,24,Kent County,24029
520105.0,Maryland,24,Montgomery County,24031
571525.0,Maryland,24,Prince George's County,24033
16351.0,Maryland,24,Queen Anne's County,24035
64527.0,Maryland,24,St. Mary's County,24037
1637.0,Maryland,24,Somerset County,24039
16946.0,Maryland,24,Talbot County,24041
70120.0,Maryland,24,Wicomico County,24045
11286.0,Maryland,24,Worcester County,24047
265209.0,Maryland,24,Baltimore City,24510
183114.0,Massachusetts,25,Barnstable County,25001
330604.0,Massachusetts,25,Bristol County,25005
24616.0,Massachusetts,25,Dukes County,25007
442371.0,Massachusetts,25,Essex County,25009
313636.0,Massachusetts,25,Hampden County,25013
891389.0,Massachusetts,25,Middlesex County,25017
5718.0,Massachusetts,25,Nantucket County,25019
438742.0,Massachusetts,25,Norfolk County,25021
